solute,Archetype,CA_rewet,FA_rewet,Delta_Beta,Delta_CV_Ratio
NO3N,0,0.004837305343200822,0.10028726661188542,0.0034229617383177975,0.0035226951439074304
NO3N,1,-0.021096595732129998,-5.932959517725506,-0.4614356952548783,-0.6223889523109798
PO4P,0,-0.035991103186052906,0.08605480611817709,0.06383942338968415,-0.16351518160435977
PO4P,1,0.0,-5.71716440330123,-0.5096322838500733,-1.891523072530373
DOC,0,0.007182036299462062,0.04427660432693048,0.037956994458696255,-0.015966322608867406
DOC,1,0.06370490916774962,0.21584798291038437,-0.002283889165542865,0.030493044571509666
