Solute,Class ID,Archetype Name (Mechanism),CA during Rewetting (Median),FA Export (Median),Δβ (c-Q Shift),ΔCVc/CVq (ΔCV Ratio)
NO3N,0,Buffered Chemostatic,0.005,0.100,0.003,0.004
NO3N,1,Source-Depleted Dilution,-0.021,-5.933,-0.461,-0.622
PO4P,0,Surface-Pathway Activation,-0.036,0.086,0.064,-0.164
PO4P,1,Point-Source Dilution,0.000,-5.717,-0.510,-1.892
DOC,0,Non-responsive,0.007,0.044,0.038,-0.016
DOC,1,Accumulation-Flush Pulse,0.064,0.216,-0.002,0.030
