OBJECTID,solute,CA_rewet,FA_rewet,Delta_Beta,Delta_CV_Ratio,Archetype
193,NO3N,-0.037281465037155,0.2132282939480967,0.1036248742558135,0.0701100067533775,0
194,NO3N,-0.0218331467743858,0.0407684071242786,0.0003460074545363,0.038407838557944,0
199,NO3N,-0.0050847567181101,0.2978454884162053,0.0388743528817187,0.2487301198207151,0
200,NO3N,0.00203591071018135,0.09147308941749449,0.0107418326989152,0.01389137380084,0
201,NO3N,-0.0025253616423315,0.11419069827656454,-0.0128206693325695,0.2318844505914598,0
212,NO3N,-0.03206045553606725,0.14905610505075428,0.6503046298079759,0.6010582519390556,0
218,NO3N,-0.029034108992620298,0.17426080985907255,-0.1768110779547146,0.0360044188373348,0
220,NO3N,-0.00061209115086255,-0.00925535032896445,-0.4441608509506446,0.313244699389657,0
221,NO3N,-0.0372921517466044,0.14777470341858834,-0.0360150430663274,0.0659004014794836,0
224,NO3N,-0.0216074888419991,0.0524186450517511,-0.0476397031301595,0.0577691407301902,0
226,NO3N,-0.0198890863650693,0.0199941062761331,0.0184875763953617,-0.0382478006034229,0
227,NO3N,-0.03174133547984795,0.20311837986370035,0.0695922453672567,0.0441543040911411,0
234,NO3N,0.022060618462319798,0.2792272085367173,-0.0495010892346107,-0.0282573090872667,0
242,NO3N,-0.0204864919923609,0.3915910333226666,0.0262321034698621,0.057918311945749,0
243,NO3N,-0.0139239230889814,0.3689620388176444,0.1237868250435892,0.0933642935828777,0
246,NO3N,0.0120740762808062,0.1485388591430471,-0.0469141809973249,-0.0925120034477887,0
250,NO3N,-0.0064725145056174,0.0878173761492375,0.1337897638389355,-0.3919219131219157,0
252,NO3N,0.0002981070226279,-0.0005435304463529,-0.2720368552466858,0.2432388310861865,0
255,NO3N,-0.011779946756061751,0.14416470052742825,0.0522612586447681,-0.0867901519475626,0
257,NO3N,-0.0125724562759202,0.166200699971523,-0.0486434340347525,-0.0012103072216037,0
258,NO3N,-0.020260495197491,0.0414645452006037,-0.0073147396621498,-0.128180972677244,0
260,NO3N,-0.046819352870442255,0.2553319336270945,0.0535707875554064,0.1486736708492107,0
268,NO3N,-0.03928938406897255,0.11646563603355506,0.0569211575033636,0.0454519758362055,0
271,NO3N,-0.018845944267567548,0.3881849273537835,0.0100468151567648,-0.0137289013868149,0
273,NO3N,-0.0248129699424362,0.14957722545933674,0.0202624308850232,-0.0084424943599341,0
275,NO3N,-0.04454533969367865,0.3214579262255588,0.0256640114708993,0.0209477145607718,0
279,NO3N,-0.0080912541468397,0.1738200317634617,0.041130781477585,-0.0734814599444416,0
284,NO3N,-0.0095934952312775,0.1334258777001861,-0.0421507929184173,0.0531201914449955,0
285,NO3N,-0.0464510382249673,0.1623351926737475,0.1156697635828414,-0.0500404055190514,0
292,NO3N,-0.007055121294904199,0.1670393500040027,-0.0062790604128322,0.0815751939264299,0
296,NO3N,0.0077915575263105,0.1408771376465662,0.0675812615040164,0.0713888183703286,0
312,NO3N,-0.0046790619753772,0.12972936433492854,0.0049321451861136,-0.0153812060694623,0
313,NO3N,-0.0603161362577228,0.1256649940414342,0.0276288167218169,-0.0440805350945077,0
314,NO3N,-0.0113864980616823,0.1033563940344059,0.024436886522944,-0.1088810258693127,0
316,NO3N,-0.06813824219203266,0.20229835463669105,-0.0721713392997939,0.0517768102243557,0
317,NO3N,-0.11034792397522275,0.2259711814512986,-0.0067761482258395,0.1124309156793648,0
327,NO3N,-0.034584231702160004,0.18620411622476735,0.0168144364503103,0.0031865788436216,0
328,NO3N,-0.0708460360223134,0.33911238364735585,-0.0750903215277641,0.0717343729172122,0
329,NO3N,-0.06556974380933996,0.17134987753812536,-0.0040828089777196,0.0454124436630128,0
331,NO3N,-0.024521411152655048,0.24099866315383395,0.066054330163214,0.0708445953981988,0
333,NO3N,-0.0064308903302904,0.1566454600449382,-0.2859755246517113,0.3054357832767039,0
334,NO3N,-0.0605267409373864,0.1678914967987318,-0.0395497524752033,0.2288569405147651,0
335,NO3N,-0.0067620543749233,0.1499426519891301,-0.0060452316774909,-0.0447464132529199,0
336,NO3N,-0.0174363391807281,0.093916513767766,0.2935247434203821,0.110068849243342,0
337,NO3N,0.0365805233627379,0.2455030793651997,0.0074984887019087,0.0517940844969951,0
338,NO3N,0.00412807739012355,0.05043360911769255,0.059229255412821,-0.0112780983945864,0
339,NO3N,-0.0078678612006136,0.1641652577297601,0.0767923841310337,-0.1291863553586121,0
340,NO3N,-0.002411382890195,0.1201212396600906,0.2465756815714876,0.1654658721025317,0
341,NO3N,-0.00356453377262735,0.0684053887989585,-0.0614783815342523,0.0259408347724586,0
342,NO3N,-0.02535631010076595,0.16318626586641355,-0.0503959730556654,0.0864409588756965,0
345,NO3N,-0.00157216406048765,0.10713446403820664,0.4384058184239723,0.4518829485560673,0
346,NO3N,0.0253120342955666,0.1450620162088303,-0.1877972107357137,-0.1977991988832449,0
347,NO3N,0.0005342832209187,0.08753930494409534,0.5173598283018254,0.1419754242911013,0
348,NO3N,0.01779486237044495,0.2518225136144673,0.0120257469327781,0.0726343860044382,0
349,NO3N,0.0148742085643584,0.1332718574497663,-0.0085685681748981,-0.0054491192786829,0
350,NO3N,0.0227042487493291,0.1679374853490237,-0.068710300406737,-0.0368110245770288,0
352,NO3N,-0.0024628770145835,0.1066461908416919,0.0455100267363982,-0.0138587200492656,0
354,NO3N,0.0,0.05353091507464115,0.0174057315132596,0.0786640716239483,0
355,NO3N,-0.0048008042038155,0.05004788916014875,-0.098515931079913,0.1060237827431007,0
356,NO3N,0.0021715535135079,0.2137116678555841,-0.2288198670885962,0.1187883904038333,0
357,NO3N,-0.0034133355797694,0.21894449847844993,0.3918809680967876,-0.340538003743607,0
358,NO3N,-0.0074450428491106,0.0327760495440166,-0.0551469499039654,-0.1291364945797458,0
359,NO3N,-0.013501973048095452,0.24807933575704183,0.3161071055189507,0.067399183356211,0
360,NO3N,-0.015526016555144,0.11982839154547315,-0.1191665246025354,0.0696488024545243,0
362,NO3N,0.0955249267871879,0.2860632913040654,-0.2776865017348712,-0.4243826779857358,0
363,NO3N,0.0005281225367005,0.0905797507684027,0.5418697184090794,0.2244147563834879,0
364,NO3N,0.0015071592905713,0.0992769418586958,0.1388262249979697,-0.0435260210374502,0
365,NO3N,-0.0149097543662871,0.0984465005353739,0.1034763345537323,0.0158647907828504,0
366,NO3N,-0.015592000322234,0.05527015679544105,-0.0370067540601415,0.0351477599950178,0
367,NO3N,0.0036697288889624,0.0947339264500295,-0.1094708365707878,0.0467616186243018,0
368,NO3N,-0.00386526682663505,0.1340063679104165,-0.0483349353382993,0.0250710913260793,0
370,NO3N,0.0017077108412583,0.18104877930140273,-0.0456217377425298,-0.1068267654630563,0
372,NO3N,-0.0225743220385391,-6.0288263596048335,-0.286342782583984,-0.3597867268299787,1
373,NO3N,0.0210349561193969,0.0699617467245142,-0.1810481272512429,0.0320556597953789,0
374,NO3N,0.007255170881172,0.159960814731938,-0.0367108269131343,-0.0311099199265008,0
375,NO3N,0.0073831988887284004,0.10319717720154925,-0.1185942174262939,-0.1151464047322536,0
376,NO3N,-0.0040713743223054,0.1478531253618905,-0.0869538581592132,-0.0986560732974857,0
377,NO3N,0.0,0.158107469103886,0.0743520873046898,0.0486935378070825,0
378,NO3N,-0.0038318086614286,0.0470306890703361,0.0100287260696013,0.0208690196198855,0
380,NO3N,-0.0205087589013711,0.1562256004223262,0.0984960271156314,-0.4451426965305534,0
381,NO3N,-0.0120868872835825,0.095532011359725,0.0099453624414156,0.0738383354918275,0
385,NO3N,-0.0209548461068141,0.112115415314567,0.0898041801404851,0.018655355900173,0
387,NO3N,-0.01056306180960245,0.07376601536595914,-0.0068859520784229,-0.0515890741206005,0
388,NO3N,0.0033726712038490503,0.0967392140265669,0.2004824520165399,0.0333268414463662,0
391,NO3N,-0.0064965425703982,0.1761693227493269,0.025091116303213,0.0273031589970934,0
392,NO3N,-0.0504171809374051,0.3381811605075562,0.0263972545896049,-0.0732886788980971,0
393,NO3N,-0.0028458517230523,0.1006045419460814,-0.1153518501773609,-0.1200767067677444,0
394,NO3N,-0.0035595143255883,0.0613561709029048,-0.0798299835619244,-0.1007202613121805,0
628,NO3N,0.02367731241462315,0.14885989710666195,-0.0436749518923584,-0.0047796786248849,0
630,NO3N,0.07687451642375755,0.1509297754624653,-0.1902966551837899,-0.1136137256944461,0
632,NO3N,0.09407572001234255,0.10477965775311951,-0.3155867582199201,-0.1696389290200809,0
634,NO3N,0.0030062294489262,-0.0625609367910113,-0.0273294835778893,-0.0317660486032463,0
637,NO3N,0.000522292800658599,-0.18939266657469006,-0.1358953184480513,-0.2656998729102229,0
638,NO3N,-0.0330195079912607,-0.5657587293561487,0.1112220438723545,0.0407679084919652,0
643,NO3N,0.0862279848618256,0.2249965950142493,-0.0300653325532558,-0.0450810729375286,0
645,NO3N,0.0686401205645053,0.06007349371333505,0.0597014558403249,0.0304661316506897,0
648,NO3N,0.0038296933067171004,0.012833691977995249,0.2250516204266606,0.0486311237088874,0
650,NO3N,-0.1287665629318809,-0.6119025850139613,-0.1297160257660794,-0.0669222393798097,0
651,NO3N,0.0325466420168641,-0.093845563338531,-0.068070022155606,-0.2282365733113492,0
656,NO3N,-0.02080036924282505,-0.2688931214456951,0.2929235603441493,0.0092447920177345,0
661,NO3N,-0.10095839432162484,-0.25545736150634,0.1928764942156295,-0.2067271948222568,0
663,NO3N,0.008180896539500899,0.11044340890490234,-0.08940717480959,0.1167510054999416,0
665,NO3N,0.0098783509270324,0.1464070237959632,0.078604560714686,0.2407946335651342,0
667,NO3N,0.01028458706593805,-0.0188675286705474,0.1198559637530403,0.1238419927374414,0
668,NO3N,-0.0014858843744245,0.0611025591177358,0.1284900855336434,0.1301898058583634,0
669,NO3N,0.0008340284053103,0.1069388884484164,-0.0736044416906996,0.0789048911327814,0
671,NO3N,0.0848112223927411,0.0756560195209032,0.0341581453739892,0.1814170734608926,0
673,NO3N,0.0600659438573914,0.1382810455604452,0.013986500858496,0.0706724365793055,0
678,NO3N,0.0442192314687513,0.0628325503423672,0.019264156533639,0.1111576648500463,0
680,NO3N,-0.00496620925854755,0.10733702122713876,0.172358700379224,-0.0167664022413729,0
686,NO3N,0.0004964011022759,-0.0069504957787578,0.015311823470258,0.0117380531913101,0
687,NO3N,0.0008916208350337499,0.02593139033027555,0.0339480927098077,0.0261706909023383,0
688,NO3N,0.0017559267022647,0.0166152635054678,0.1042217475255065,0.1310162681742767,0
690,NO3N,0.0102976373376552,0.0383638683909525,0.0306103130514064,0.1233388761318713,0
692,NO3N,0.0979330309569504,0.10331339874977,0.0431812538066727,0.1631426747239288,0
695,NO3N,-0.004549034455126851,-0.041676443162286046,0.1087455932672111,-0.0206602973239344,0
696,NO3N,0.0622074850182307,0.1041687699675499,0.0215609200379737,0.0505008256908904,0
701,NO3N,0.0415541951766462,-0.17330538885510616,-0.20091674796418,-0.1817160907513887,0
704,NO3N,0.0259497929280642,0.05799447088608845,0.0191210488038047,0.0180387274851108,0
705,NO3N,0.0237181023522584,-0.0072010802773214,0.0797281806039258,0.065320609100557,0
711,NO3N,-0.0017991591210924,-0.13497646496793644,-0.2391515150744812,0.1503707649782624,0
712,NO3N,0.0361612373999999,0.1108307786759606,-0.0080656809017544,0.1635657016761391,0
716,NO3N,-0.0033088302265967496,0.016446971824467402,0.2847149713945219,0.1755207676755454,0
718,NO3N,0.0095517595726168,-0.0617672995119036,0.0239336017742,-0.0202979270961417,0
722,NO3N,-0.0052770571008437,-0.0305932761391659,-0.1672656884791749,-0.0642468466453046,0
723,NO3N,-0.0055449572922714,-0.16819341463436543,-0.1713898369777616,0.0972010185275313,0
728,NO3N,0.02692811427098395,0.26115055932342635,-0.0351702727414736,-0.0654414241599462,0
730,NO3N,0.0081290601050633,0.0327861154187485,-0.1397807605278854,0.1896650809939051,0
731,NO3N,0.00464628291497665,0.0805632448037189,-0.0735956512328155,0.0019543905680208,0
734,NO3N,0.0015821650190064,-0.0671703586823986,-0.0526024994138915,0.0498514994753994,0
735,NO3N,0.00445615109564835,0.0138393130524756,0.0072633319171459,-0.0119699465968602,0
